Date-Time,content,content_type,movie_popularity_factor,children_popularity_factor,adults_popularity_factor,retirees_popularity_factor,movie_budget,box_office_revenue,n_ad_breaks,prime_time_factor,children_baseline_view_count,children_expected_view_count,children_true_view_count_0,children_true_view_count_1,children_true_view_count_2,children_true_view_count_3,children_true_view_count_4,children_true_view_count_5,children_true_view_count_6,children_true_view_count_7,children_true_view_count_8,children_true_view_count_9,adults_baseline_view_count,adults_expected_view_count,adults_true_view_count_0,adults_true_view_count_1,adults_true_view_count_2,adults_true_view_count_3,adults_true_view_count_4,adults_true_view_count_5,adults_true_view_count_6,adults_true_view_count_7,adults_true_view_count_8,adults_true_view_count_9,retirees_baseline_view_count,retirees_expected_view_count,retirees_true_view_count_0,retirees_true_view_count_1,retirees_true_view_count_2,retirees_true_view_count_3,retirees_true_view_count_4,retirees_true_view_count_5,retirees_true_view_count_6,retirees_true_view_count_7,retirees_true_view_count_8,retirees_true_view_count_9,ad_slot_price
2024-10-01 07:00:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0300001788804513,0.0053785910706353,0.002814302824397,0.0007847598315939,0.0,0.0,0.0038884863759724,0.0047038419434385,0.0061494553825935,0.0021125325852451,0.0044719150520236,0.001424967169306,0.0333127013065763,0.0149311924532647,0.0,0.0210277236196126,0.0115374339296831,0.0199481578653856,0.0051591740348717,0.0051722287723435,0.0119859148197991,0.0166397968170212,0.0136068715581054,0.0239587878234443,0.0048266001015098,0.002163345876618,0.0016872562464073,0.0,0.0044806143778449,0.0015925716596397,0.0,0.0061115631423492,0.0019088970135595,0.0,0.0032653635786031,0.002688433294204,
2024-10-01 07:05:00,Advert,Advert,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0298962340908106,0.0053599552978412,0.0,0.0028655308213444,0.0009806339959046,0.0,0.0043694916677706,0.0113678435237228,0.0026141941875342,0.0065995770730194,0.0034350257385397,0.0011493720963958,0.0333270797502366,0.0149376370615087,0.00054852340105,0.0066798561906255,0.0124761888392582,0.0220374517177135,0.0067519062021206,0.0146103045427093,0.0141537371436773,0.0106191190781281,0.0304875795262609,0.0181285771229032,0.0050506071275257,0.0022637487825711,0.0008135760429994,0.0,0.003439025014714,0.0024057977672848,0.0086592968656637,0.0026266779941378,0.0026733545578175,0.0041258254713766,0.0042188929082874,0.0031069534315327,25458.66
2024-10-01 07:10:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0295864839039208,0.0053044216426596,0.0018896430597666,0.0020637511258693,0.0001712236764163,0.0062866192388554,0.0017867996276065,0.0060390680881002,0.0023480429227752,0.0055273386100245,0.0005137598641495,0.0009951176734175,0.0333702125156573,0.0149569697363228,0.0068430674004696,0.0212131483514916,0.0057022973601138,0.0258600515851973,0.0156018730152845,0.0141775401717524,0.0185796403854141,0.0,0.012156307961152,0.0183264071692787,0.0052835118008678,0.0023681397315047,0.0,0.0063750483925272,0.0007137479395862,0.0045788484039104,0.0062655860189567,0.0,0.0054244236511273,0.0028325395675227,0.0,0.0058746757795504,
2024-10-01 07:15:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0290773286246795,0.0052131375856742,0.0004513531858233,0.0023019953665941,0.0,0.0002359871577879,0.0021301688609615,0.0053678798938711,0.0,0.0024780771321626,0.0047861578258348,0.0024543785911815,0.0334420919527488,0.0149891870488358,0.0113079396633416,0.018202188992224,0.0148437402667276,0.0265890013217281,0.0119663724059364,0.0,0.0196527912796472,0.0097705493639501,0.0008827769484767,0.0092809404202067,0.0055254933173525,0.0024765990413491,0.0,0.0033350877600087,0.0043677767838935,0.0052055828120442,0.0030037624915797,0.0011199068036849,0.0,0.0039807272217234,0.0040500442901047,0.005560311178805,
2024-10-01 07:20:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0283791899875069,0.0050879715906671,0.0,0.0051872561016825,0.0018313080061144,0.0019339178173358,0.0040070905489028,0.0054827096818452,0.0014872734026452,0.0012785834492684,0.0027196133947071,0.0036384774751229,0.0335427052892902,0.0150342832743697,0.0047613986599934,0.0120151551677108,0.0146749390282704,0.0246984176547139,0.0153386790077662,0.003536910412487,0.0281778720847133,0.0050647891791493,0.0077875105497861,0.0246746603312861,0.0057767294791866,0.0025892064054005,0.0008423217847847,0.0,0.0040084650745738,0.0,0.0,0.0033581361078626,0.0067818765288339,0.0023272745065397,0.0005315770346011,0.0007086381910119,
2024-10-01 07:25:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0275061567222698,0.0049314495597991,0.0072515883623215,0.0041622535899242,0.0022035765565639,0.0036180325183737,0.0002869543697689,0.0060504957455861,0.001759613244824,0.0025951485694354,0.0041676331344145,0.0,0.0336720345979605,0.0150922503776625,0.0133156833347413,0.0094314879107663,0.0099967853756586,0.0245552872055591,0.0135941322113325,0.0149181895209292,0.0211567447497254,0.0130794673037413,0.0263055672738905,0.0084432342643726,0.0060373961824415,0.0027060406625999,0.0,0.0,0.0025416481929026,0.0035764248517578,0.0043552878499578,0.0007528965297253,0.0057530653988113,0.0044525305470673,0.0,0.0046396935196701,
2024-10-01 07:30:00,Cop Land,Movie,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0264755122187714,0.0047466701507961,0.0020119679442055,0.0025945109911405,0.0018661006134801,0.0008358141328546,0.0060784353612323,0.0090358968215615,0.0,0.0018238230046178,0.0046958572718435,0.0008072849993367,0.0338300567502971,0.0151630779922322,0.0121770386971154,0.0137475139592439,0.0118843650893163,0.0243096419381391,0.0194692946795717,0.0105282504360437,0.0154043159114265,0.0168249282806123,0.0017509752762778,0.002094738508778,0.0063076668913462,0.0028271795619043,0.0022411475939118,0.0,0.0013279789017411,0.0057991077155796,0.0038743303744184,0.0026158997785439,0.0,0.0011633333686094,0.0,0.0013078442655273,
2024-10-01 07:35:00,Advert,Advert,0.4482132465657226,0.1792853,0.4482132,0.4482132,15000000.0,44862187.0,4.0,1.0,0.0253071664147921,0.0045372029228259,0.0,0.0072016033785681,0.0,0.002131598473966,0.0036393874151645,0.0043302609361491,0.0,0.0015989825806093,0.0,0.0048626119819229,0.0340167433576982,0.0152467533939326,0.0025813818486926,0.0163628113115886,0.0110429114412344,0.0213075514980192,0.0131823968775756,0.0167205248113829,0.0266869924779757,0.0073717905997738,0.0163732118011181,0.0140922315369318,0.0065877120999524,0.0029526995209984,0.0006456903277993,0.0019042902409777,0.0030917299598888,0.0008276679642834,0.0080343004912043,0.0022524880552557,0.0047534306761382,0.0031280856163477,0.0001977102467962,0.0071547178330694,25458.66
2024-10-01 07:40:00,A Serious Man,Movie,0.2688470421493016,0.2150776,0.268847,0.268847,7000000.0,31430334.0,4.0,1.0,0.0240230179821225,0.0051668130523517,0.0027802707629325,0.0090169997292253,0.0042781931948137,0.0040274321586715,0.0007840009612029,0.0123391143203755,0.0,0.0025281122916306,0.0047454236777815,0.0081857964480774,0.0342320606996156,0.0092031868229095,0.010841775829765,0.001473082213693,0.0194505588197003,0.0087823385796516,0.0035465848373582,0.0149644175009658,0.0115949318473115,0.0027353567892731,0.0,0.0,0.0068776987817919,0.0018490486843884,0.00172056906345,0.0005311032141539,0.0015429961097652,0.0033458783489493,0.0,0.0046599250572886,0.0002209227150441,0.0030081174205202,0.0,0.004145013921905,
2024-10-01 07:45:00,A Serious Man,Movie,0.2688470421493016,0.2150776,0.268847,0.268847,7000000.0,31430334.0,4.0,1.0,0.0226462753012828,0.0048707065407391,0.0,0.0024882826644459,0.0,0.0052185621073253,0.0013826891246343,0.0087197321535822,0.0028164055907421,0.0047636402774598,0.0048917919969276,0.0089760227535672,0.0344759696391189,0.0092687610095682,0.0130394876102168,0.0065813120115629,0.0170526604286305,0.0026107222416931,0.0163206312473112,0.0039440729880619,0.0174684307436132,0.0,0.0109700640716311,0.0206189032326831,0.0071777898282148,0.001929727261946,0.0033547681860747,0.00038082935926,0.0013445664954607,0.0024724580348983,0.0036552864731964,0.0,0.0021431580637324,0.0,0.0,0.006108004358901,
